POS HUJAN ID,NAME,CURRENT LATITUDE,CURRENT LONGITUDE,provinsi,ketersediaan_bulanan_persen
75010201a,Telaga,0.58,123.04,Gorontalo,43.27
75010301a,Batudaa,0.55,122.98,Gorontalo,38.46
75010401a,Stamet Djalaluddin,0.64,122.85,Gorontalo,31.41
75011001a,Telaga Biru,0.71,123.04,Gorontalo,28.85
75011002a,Stageof Gorontalo,0.65,123.01,Gorontalo,54.81
75011101a,Bongomeme,0.59,122.83,Gorontalo,30.45
75011301a,Lakeya,0.71,122.53,Gorontalo,60.58
75011401a,Mootilango,0.7,122.66,Gorontalo,42.63
75011701a,Limboto Barat,0.64,122.93,Gorontalo,35.58
75011801a,Tilango,0.57,123.03,Gorontalo,42.31
75012001a,Biluhu,0.49,122.8,Gorontalo,52.56
75012301a,Bilato,0.57,122.64,Gorontalo,42.95
75020101a,Paguyaman,0.64,122.56,Gorontalo,93.91
75020202a,Wonosari,0.7,122.45,Gorontalo,43.59
75020301a,Dulupi,0.58,122.46,Gorontalo,11.54
75020401a,Tilamuta,0.53,122.34,Gorontalo,98.72
75020501a,Mananggu,0.51,122.14,Gorontalo,9.62
75020601a,Botumoito,0.51,122.3,Gorontalo,34.94
75020701a,Paguyaman Pantai,0.51,122.58,Gorontalo,45.51
75030101a,Tapa,0.59,123.07,Gorontalo,88.14
75030201a,Kabila,0.54,123.1,Gorontalo,84.62
75030301a,Suwawa,0.53,123.14,Gorontalo,88.14
75030401a,Bone Pantai,0.38,123.21,Gorontalo,53.53
75030501a,Bulango Utara,0.63,123.08,Gorontalo,36.54
75030601a,Tilong Kabila,0.59,123.11,Gorontalo,86.86
75030603a,Staklim Bone Bolango,0.56,123.14,Gorontalo,34.29
75030701a,Botupingge,0.52,123.11,Gorontalo,38.46
75030801a,Kabila Bone,0.45,123.13,Gorontalo,55.45
75030901a,Bone,0.36,123.26,Gorontalo,24.68
75031001a,Bone Raya,0.31,123.34,Gorontalo,35.58
75031101a,Suwawa Timur,0.51,123.25,Gorontalo,27.56
75031201a,Suwawa Selatan,0.49,123.19,Gorontalo,33.65
75031301a,Suwawa Tengah,0.54,123.18,Gorontalo,14.1
75031701a,Bulawa,0.32,123.27,Gorontalo,32.37
75040101a,Popayato,0.5,121.46,Gorontalo,80.45
75040201a,Lemito,0.55,121.57,Gorontalo,47.12
75040301a,Randangan,0.53,121.81,Gorontalo,58.01
75040401a,Marisa,0.46,121.91,Gorontalo,49.04
75040501a,Paguat,0.5,122.07,Gorontalo,35.9
75040601a,Patilangio,0.51,121.86,Gorontalo,24.04
75040701a,Taluditi,0.63,121.82,Gorontalo,46.15
75040801a,Dengilo,0.64,122.11,Gorontalo,29.81
75041101a,Wonggarasi,0.56,121.53,Gorontalo,26.6
75041201a,Popayato Timur,0.52,121.49,Gorontalo,28.21
75041401a,Bulango Ulu,0.66,123.13,Gorontalo,17.63
75050101a,Atinggola I,0.89,123.12,Gorontalo,37.82
75050201a,Kwandang I,0.83,122.92,Gorontalo,99.36
75050202a,Kwandang II,0.76,122.87,Gorontalo,37.5
75050301a,Anggrek,0.85,122.78,Gorontalo,60.9
75050401a,Sumalata,0.98,122.42,Gorontalo,47.44
75050501a,Tolinggula,1.01,122.17,Gorontalo,49.36
75050601a,Gentuma Raya,0.92,123.03,Gorontalo,63.78
75050602a,Atinggola II,0.9,123.09,Gorontalo,59.29
75050901a,Monano,0.86,122.69,Gorontalo,11.22
75051101a,Sumalata Timur,0.95,122.56,Gorontalo,29.81
75710101a,Kota Barat,0.54,123.03,Gorontalo,9.62
75710201a,Kota Selatan,0.53,123.06,Gorontalo,10.26
75710301a,Kota Utara,0.56,123.09,Gorontalo,40.06
75710801a,Dumbo Raya,0.5,123.09,Gorontalo,36.86
74040601a,Spp. Binuang,-3.43,119.39,Sulbar,18.91
76010101a,Pskn. Randomayang,-1.02,119.48,Sulbar,19.23
76010201a,Poskeswan Mertajaya,-1.17,119.44,Sulbar,49.04
76010501a,Poskeswan Dapurang,-1.73,119.47,Sulbar,17.95
76010801a,Kantor Desa Lariang/Tikke Raya,-1.4,119.33,Sulbar,22.76
76010901a,Kantor Desa Malei,-1.25,119.33,Sulbar,22.76
76011201a,Bpp Baras/Lariang,-1.47,119.37,Sulbar,16.99
76020101a,Mamuju,-2.69,118.88,Sulbar,77.56
76020201a,Tappalang,-2.78,118.86,Sulbar,17.31
76020301a,Kalukku,-2.6,119.05,Sulbar,17.31
76020401a,Kalumpang,-2.47,119.48,Sulbar,59.29
76020501a,Budong-Budong,-2.08,119.24,Sulbar,73.4
76020601a,Pangale,-2.26,119.2,Sulbar,74.04
76020701a,Papalang,-2.43,119.15,Sulbar,42.63
76020801a,Sampaga,-2.35,119.22,Sulbar,42.31
76020901a,Topoyo,-2.05,119.27,Sulbar,42.31
76021001a,Karossa,-1.97,119.49,Sulbar,43.59
76021101a,Tommo,-2.25,119.46,Sulbar,43.91
76021201a,Simkep,-2.32,119.33,Sulbar,40.71
76021301a,Tappalang Barat,-2.77,118.78,Sulbar,18.59
76021401a,Tobadak,-2.1,119.36,Sulbar,43.59
76021501a,Bonehau,-2.61,119.26,Sulbar,41.03
76030101a,Bpp Mambi,-2.94,119.17,Sulbar,19.23
76030301a,Bpp Mamasa,-2.92,119.37,Sulbar,21.79
76030501a,Bpp Tabulahan,-2.67,119.19,Sulbar,9.62
76030601a,Bpp Sumarorong,-3.14,119.3,Sulbar,61.22
76030701a,Bpp Messawa,-3.25,119.34,Sulbar,18.27
76030901a,Bpp Tanduk Kalua,-3.07,119.32,Sulbar,14.74
76031301a,Bpp Nosu,-3.13,119.49,Sulbar,18.27
76040201a,Bpp. Campalagian,-3.42,119.16,Sulbar,95.83
76040301a,Bpp. Wonomulyo,-3.38,119.22,Sulbar,74.04
76040401a,Bbi Padi Lantora,-3.42,119.33,Sulbar,19.23
76040402a,Unasman Manding,-3.4,119.31,Sulbar,71.47
76040602a,Bpp. Tonyaman,-3.43,119.37,Sulbar,80.13
76040701a,Bpp. Tapango,-3.37,119.23,Sulbar,26.6
76040801a,Bpp. Mapilli,-3.4,119.2,Sulbar,26.6
76040802a,Breeding Andau,-3.32,119.17,Sulbar,19.23
76041101a,BPP. Limboro,-3.47,119.51,Sulbar,79.49
76041301a,Bpp. Anreapi,-3.37,119.36,Sulbar,19.23
76041401a,Bpp. Matakali,-3.37,119.29,Sulbar,26.6
76050101a,Bpp Banggae/Diperta,-3.53,118.94,Sulbar,72.12
76050201a,Bpp Pamboang,-3.48,118.9,Sulbar,97.44
76050301a,Bp3K Sendana,-3.36,118.87,Sulbar,19.55
76050401a,Bpp Malunda,-3,118.86,Sulbar,95.51
76050501a,Ulumanda,-3.04,118.87,Sulbar,27.56
76050601a,Bp3K Tammeroddo Sendana,-3.23,118.84,Sulbar,26.92
76050701a,Bp3K Tubo Sendana,-3.12,118.78,Sulbar,21.47
76050801a,Bp3K Kp. Baru / Banggae Timur,-3.53,118.98,Sulbar,58.33
73020101a,Bonto Macina,-5.51,120.12,Sulsel,80.77
73020201a,BPP Tanah Kongkong,-5.56,120.18,Sulsel,86.54
73020301a,Bonto Bahari,-5.53,120.36,Sulsel,81.41
73020401a,Bontotanga,-5.44,120.35,Sulsel,71.79
73020501a,Herlang,-5.4,120.37,Sulsel,86.22
73020601a,Tanajaya / Kajang,-5.34,120.35,Sulsel,87.5
73020801a,Bulo-Bulo / Tanete,-5.36,120.14,Sulsel,82.69
73020802a,Borong Rapoa,-5.39,120.04,Sulsel,70.19
73020901a,Bpp. Paruku/Ujung Loe,-5.34,120.27,Sulsel,75.64
73021001a,Ex SMPK Batukaropa,-5.47,120.22,Sulsel,99.68
73030101a,Campagaloe/ Bonto Jaya,-5.53,119.87,Sulsel,71.79
73030102a,Bonto Cinde,-5.55,119.89,Sulsel,64.42
73030201a,Bippl. Lamalaka,-5.55,119.96,Sulsel,74.36
73030202a,Allu/ Karatuang,-5.53,119.96,Sulsel,68.27
73030301a,Kampala / Eremerasa,-5.48,120,Sulsel,66.35
73030401a,Tompobulu/ Banyorang,-5.45,120.04,Sulsel,65.06
73030501a,Pa' Jukukang / Nipa - Nipa,-5.56,120.02,Sulsel,62.5
73030601a,Loka/Ulu Ere,-5.45,119.91,Sulsel,63.14
73030701a,Dampang,-5.5,120.04,Sulsel,74.68
73030702a,Baji Minasa,-5.5,120.07,Sulsel,31.41
73030703a,Layoa,-5.54,120.08,Sulsel,37.82
73030801a,Bonto Maccini,-5.5,119.93,Sulsel,38.14
73040101a,BPP Benteng,-5.58,119.56,Sulsel,94.55
73040201a,Bpp Tamalatea,-5.62,119.65,Sulsel,13.14
73040202a,Pesantren Darul I'Tisham,-5.58,119.69,Sulsel,50
73040301a,Ex Smpk Pakkaterang,-5.67,119.73,Sulsel,79.49
73040401a,Tarowang,-5.6,119.86,Sulsel,52.88
73040601a,Kantor Kelurahan Bulu Jaya,-5.49,119.54,Sulsel,55.13
73040701a,Bulu Sibatang,-5.56,119.68,Sulsel,16.03
73040702a,Bangkalaloe,-5.6,119.72,Sulsel,58.65
73040801a,Bontomatene,-5.61,119.78,Sulsel,84.29
73040901a,Bendungan Kelara,-5.53,119.82,Sulsel,86.86
73040902a,Pattiroang,-5.65,119.82,Sulsel,48.08
73050101a,Bb Paddingin,-5.43,119.41,Sulsel,62.5
73050201a,Lakatong / Cikoang,-5.54,119.45,Sulsel,78.85
73050301a,Cakura,-5.42,119.51,Sulsel,51.28
73050401a,Bppk. Polobangkeng Utara,-5.39,119.45,Sulsel,91.67
73050402a,Ko'Mara,-5.39,119.55,Sulsel,47.12
73050403a,ex SMPK PG. Takalar,-5.36,119.5,Sulsel,87.82
73050404a,Tammuloe / Lassang,-5.33,119.48,Sulsel,46.15
73050501a,Bppk. Galesong,-5.32,119.39,Sulsel,97.76
73050502a,BP2K Galesong Selatan,-5.37,119.37,Sulsel,1.92
73050601a,Bonto Lebang,-5.42,119.39,Sulsel,52.24
73050701a,Pattalassang,-5.42,119.43,Sulsel,99.04
73050801a,Bppk Tottalasa,-5.47,119.42,Sulsel,61.22
73060101a,Bontonompo / Barembeng,-5.35,119.42,Sulsel,97.44
73060201a,Kipp Limbung / Bpp. Limbung,-5.29,119.44,Sulsel,91.35
73060202a,Bb. Punaga/Limbung,-5.28,119.43,Sulsel,57.05
73060301a,Bb. Garing,-5.44,119.84,Sulsel,83.33
73060302a,Ex Smpk Bpp. Malakaji,-5.43,119.85,Sulsel,96.47
73060401a,Ex Smpk Bb. Malino/Bpp. Tinggi Moncong,-5.25,119.85,Sulsel,72.12
73060403a,Tinggimoncong/ Bbi Kentang,-5.25,119.91,Sulsel,44.55
73060501a,Lonjoboko / Parangloe,-5.25,119.65,Sulsel,0.64
73060502a,Bbi Horti / Bonto - Bonto,-5.29,119.57,Sulsel,79.17
73060601a,Bontobilli,-5.29,119.57,Sulsel,0.64
73060801a,Disperta Gowa,-5.2,119.46,Sulsel,0.64
73060802a,Stageof Gowa Pagentungan,-5.2,119.48,Sulsel,100
73060901a,Molonro / Bungaya,-5.36,119.73,Sulsel,49.68
73061001a,Bpp. Bulluballea,-5.25,119.94,Sulsel,54.49
73061501a,Paranglompoa / Paladingan,-5.38,119.8,Sulsel,74.04
73070101a,Manipi / S. Barat,-5.21,120.01,Sulsel,71.79
73070201a,Aska / S. Selatan,-5.21,120.22,Sulsel,67.95
73070202a,Bikeru / S. Selatan,-5.26,120.15,Sulsel,82.69
73070301a,Panaikang,-5.15,120.25,Sulsel,60.26
73070401a,Bpp. Lapadatta,-5.16,120.17,Sulsel,69.23
73070501a,Biringere / S. Utara,-5.13,120.25,Sulsel,75
73070601a,Lamatti Riattang/Bulupoddo,-5.1,120.16,Sulsel,70.51
73070701a,Pasir Putih,-5.32,120.07,Sulsel,70.51
73070801a,Tellulimpoe,-5.26,120.21,Sulsel,22.12
73080101a,Bontocani,-5.03,120.08,Sulsel,20.83
73080201a,Bpp Kahu,-4.97,120.11,Sulsel,99.68
73080301a,Bpp. Bontobulaeng/Kajuara,-5.09,120.25,Sulsel,69.87
73080401a,Biccoin,-4.99,120.28,Sulsel,15.38
73080402a,Bpp Manera Salomekko,-4.98,120.27,Sulsel,64.1
73080501a,Bpp Tonra,-4.96,120.27,Sulsel,75
73080701a,Bpp Mare,-4.8,120.34,Sulsel,86.22
73080802a,Bpp. Sibulue,-4.66,120.36,Sulsel,70.83
73080901a,Tallungeng,-4.58,120.35,Sulsel,62.82
73080902a,Unra,-4.45,120.31,Sulsel,15.38
73080903a,Bako Ale / Barebbo,-4.62,120.35,Sulsel,41.35
73080904a,Bpp Barebbo / Attabaja,-4.6,120.35,Sulsel,75.64
73080905a,Talungeng/Desa Kading,-4.59,120.33,Sulsel,30.45
73081001a,ex SMPK PG. Arasoe,-4.72,120.32,Sulsel,87.5
73081101a,Ponre,-4.65,120.19,Sulsel,41.03
73081201a,Bpp Lappariaja,-4.67,119.99,Sulsel,58.33
73081301a,Lamuru / Pacciro,-4.6,119.97,Sulsel,91.67
73081401a,Ulaweng,-4.52,120.14,Sulsel,70.19
73081501a,Jaling / Mico / Palaka,-4.49,120.24,Sulsel,31.41
73081502a,Bpp Palakka,-4.57,120.26,Sulsel,83.97
73081601a,Ma'Cope / Awangpone,-4.5,120.35,Sulsel,100
73081701a,Tokaseng/T. Siatinge,-4.4,120.27,Sulsel,0
73081702a,Bpp. Lanca / Tellu Siattinge,-4.38,120.24,Sulsel,95.19
73081801a,Bpp. Ajangale / Pompanua,-4.23,120.19,Sulsel,72.44
73081901a,Bendungan Unnyi,-4.33,120.2,Sulsel,42.31
73081902a,Bpp Dua Boccoe,-4.32,120.25,Sulsel,73.4
73082001a,Cenrana,-4.33,120.32,Sulsel,69.87
73082101a,Biru/Tanete Riatang,-4.56,120.33,Sulsel,97.76
73082102a,Diperta Watangpone,-4.54,120.33,Sulsel,61.54
73082301a,Cellu/Tanete Riatang Timur,-4.56,120.33,Sulsel,80.13
73082401a,Bpp Amali,-4.4,120.11,Sulsel,73.08
73082501a,Bpp Tellulimpoe,-5.27,120.23,Sulsel,8.33
73082601a,Bpp Bengo/ Selli,-4.62,120.02,Sulsel,100
73090101a,Bpp Mandai,-5.08,119.56,Sulsel,76.28
73090102a,Stamet Hasanuddin,-5.06,119.54,Sulsel,100
73090301a,Batubassi,-5.02,119.66,Sulsel,98.4
73090302a,Bonti-Bonti,-4.99,119.62,Sulsel,23.08
73090303a,Bpp. Bantimurung /Minasabaji,-5.01,119.63,Sulsel,88.46
73090401a,Staklim Maros,-5,119.57,Sulsel,100
73090601a,Bpp Mallawa,-4.86,119.91,Sulsel,80.13
73090602a,Gatareng Matinggi,-4.78,119.94,Sulsel,58.01
73090701a,Bpp Tanralili,-5.07,119.61,Sulsel,90.38
73090801a,Pattene Marusu,-5.06,119.51,Sulsel,43.27
73091001a,Bpp Cenrana,-5.02,119.78,Sulsel,63.14
73091002a,Kappang,-5.01,119.75,Sulsel,57.37
73091101a,Bpp Tompobulu,-5.14,119.65,Sulsel,66.67
73091102a,Tombolo,-5.14,119.65,Sulsel,40.38
73091201a,Pamelakang Jene / Solojirang,-4.99,119.57,Sulsel,50
73091301a,Bpp Moncongloe,-5.15,119.54,Sulsel,68.91
73100401a,Jagong,-4.84,119.53,Sulsel,65.06
73100501a,Balocci,-4.92,119.7,Sulsel,85.26
73100601a,Bungoro,-4.81,119.54,Sulsel,88.78
73100701a,Labakkang / Gentung,-4.75,119.55,Sulsel,81.41
73100801a,Bpp Ma'Rang,-4.67,119.57,Sulsel,99.68
73100901a,Segeri,-4.66,119.58,Sulsel,60.26
73101001a,Minasate'ne,-4.83,119.57,Sulsel,86.86
73101101a,Segeri / Mandale,-4.61,119.6,Sulsel,99.68
73101201a,Tondong Tallasa,-4.85,119.72,Sulsel,59.94
73110101a,Tompo Lemo-Lemo (Sdn. Menrong),-4.51,119.77,Sulsel,69.87
73110201a,Bpp Tanete Rilau,-4.48,119.61,Sulsel,97.44
73110301a,Ex. Smpk Bpp Jampue,-4.39,119.62,Sulsel,71.15
73110302a,Sumpang Binangae,-4.41,119.62,Sulsel,98.72
73110303a,Kaerange Palakka,-4.43,119.71,Sulsel,39.74
73110501a,Bpp Palanro,-4.17,119.64,Sulsel,98.08
73110502a,Bojo,-4.08,119.62,Sulsel,40.38
73110601a,Bpp. Pujananting (Doi-Doi),-4.59,119.7,Sulsel,73.08
73110701a,Bpp Balusu,-4.32,119.64,Sulsel,65.06
73120101a,Bpp. Marioriwawo,-4.45,119.95,Sulsel,97.12
73120201a,Bpp. Pattojo / Liliriaja,-4.4,119.94,Sulsel,99.04
73120301a,Pajalesang/BPP Lilirilau,-4.34,119.96,Sulsel,81.41
73120401a,Smpk Bpp. Malanroe / Bpp. Lalabata,-4.34,119.92,Sulsel,98.72
73120402a,Watansoppeng,-4.36,119.88,Sulsel,87.82
73120501a,Bpp. Panincong,-4.21,119.89,Sulsel,92.63
73120601a,Donri - Donri,-4.27,119.87,Sulsel,59.29
73120701a,BPP Ganra,-4.3,119.93,Sulsel,45.19
73120801a,Citta,-4.43,120.02,Sulsel,45.19
73130101a,Bbi. Canru,-4.23,120.01,Sulsel,90.71
73130201a,Bpp. Palaguna,-4.17,120.04,Sulsel,100
73130301a,BPP Takkalalla/Peneki,-4.18,120.28,Sulsel,97.44
73130401a,ex. SMPK Sakkoli,-3.96,120.22,Sulsel,90.06
73130501a,Paria,-4.03,120.13,Sulsel,98.72
73130502a,Tosora / Majauleng,-4.14,120.1,Sulsel,69.55
73130601a,Tempe,-4.14,120.04,Sulsel,68.91
73130701a,Menge / Belawa,-3.98,119.92,Sulsel,98.08
73130801a,ex. SMPK. Bontouse,-4.05,120.03,Sulsel,98.08
73130901a,Anabanua,-3.94,120.06,Sulsel,99.36
73131001a,Siwa,-3.75,120.36,Sulsel,99.36
73131101a,Sanreseng Ade,-4.23,120.26,Sulsel,67.63
73131201a,Bpp. Doping,-4.07,120.3,Sulsel,98.4
73131401a,BPP Keera,-3.85,120.34,Sulsel,96.79
73140101a,Bilokka,-4.06,119.84,Sulsel,97.44
73140102a,Lajonga/Panca Lautang,-4.07,119.87,Sulsel,75.96
73140201a,Amparita,-3.98,119.81,Sulsel,99.36
73140301a,Bpp. Watan Pulu/Lawawoi,-3.88,119.76,Sulsel,81.09
73140401a,Bpp. Passeno Baranti,-3.85,119.77,Sulsel,90.71
73140501a,Bb. Rappang,-3.84,119.83,Sulsel,57.69
73140502a,Ex Smpk Lanrang,-3.85,119.83,Sulsel,96.15
73140601a,K U L O,-3.77,119.8,Sulsel,49.36
73140701a,Pangkajene/Diperta,-3.92,119.8,Sulsel,0
73140702a,Sereang/Sidrap,-3.94,119.78,Sulsel,91.99
73140801a,Empagae,-3.92,119.88,Sulsel,52.56
73140901a,Bb. Tanrutedong/Dua Pitue,-3.88,120,Sulsel,61.22
73141001a,Bulu Cenrana/Pituriawa,-3.85,119.95,Sulsel,43.27
73141101a,Bpp. Bila/Bila Riase,-3.86,120.05,Sulsel,46.47
73150101a,Bpp. Langnga/Mattiro Sompe,-3.84,119.53,Sulsel,91.99
73150201a,Suppa/Maritengae/Majenang,-3.96,119.63,Sulsel,85.9
73150301a,Kariango/Mattirobulu,-3.84,119.64,Sulsel,1.28
73150302a,Bpp. Mananrang/Mattiro Bulu,-3.84,119.64,Sulsel,93.27
73150401a,BB Awang-awang/Watang Sawitto,-3.79,119.64,Sulsel,90.71
73150501a,BB Leppangen,-3.73,119.63,Sulsel,65.71
73150502a,BPP Teppo,-3.71,119.67,Sulsel,82.05
73150601a,Lampa/Duampanua,-3.66,119.53,Sulsel,70.51
73150602a,BPP Pekabatta/Bittoeng,-3.64,119.53,Sulsel,69.87
73150701a,Rajang/Lembang,-3.57,119.58,Sulsel,43.91
73150702a,Bpp. Lemo Susu/Lembang,-3.46,119.54,Sulsel,76.92
73150703a,Todokkong/Tuppu/Lembang,-3.54,119.53,Sulsel,99.68
73150801a,Bpp. Cempa,-3.75,119.59,Sulsel,83.01
73151001a,Lanrisang,-3.89,119.57,Sulsel,52.88
73151201a,Bpp. Batu Lappa,-3.66,119.71,Sulsel,55.77
73160101a,Maiwa / Maroangin,-3.77,119.86,Sulsel,90.06
73160201a,Enrekang,-3.58,119.77,Sulsel,89.74
73160202a,Garutu,-3.5,119.75,Sulsel,38.14
73160301a,Baraka,-3.41,119.86,Sulsel,92.95
73160302a,Baroko,-3.31,119.77,Sulsel,49.68
73160401a,Cakke / Anggeraja,-3.41,119.8,Sulsel,42.31
73160402a,Bpp Anggareja,-3.38,119.79,Sulsel,23.4
73160501a,Belajen/ Alle,-3.32,119.82,Sulsel,84.62
73160601a,Bungin,-3.54,119.95,Sulsel,68.59
73160701a,Kabere / Cendana,-3.67,119.79,Sulsel,73.08
73160801a,Curio,-3.31,119.91,Sulsel,73.08
73160901a,Malua,-3.38,119.87,Sulsel,71.79
73161001a,Buntu Batu,-3.47,119.9,Sulsel,52.88
73161101a,Masalle,-3.34,119.75,Sulsel,52.56
73170101a,BPK Basse Sangtempe,-3.17,120.04,Sulsel,30.45
73170201a,Larompong,-3.53,120.37,Sulsel,85.58
73170301a,Suli,-3.47,120.37,Sulsel,83.01
73170401a,Bpp. Bajo,-3.37,120.38,Sulsel,97.44
73170601a,Walenrang Barat,-2.8,120.2,Sulsel,59.94
73170602a,Bpp. Tombang/Ip3 Karetan/Walenrang,-2.89,120.16,Sulsel,65.38
73170701a,Belopa,-3.38,120.36,Sulsel,91.67
73170801a,Bastem/Bua,-3.09,120.23,Sulsel,70.51
73171001a,Larompong Selatan,-3.61,120.4,Sulsel,54.49
73171101a,Padang Sappa,-3.37,120.31,Sulsel,75.32
73171102a,Bpk Model Ponrang,-3.22,120.29,Sulsel,20.19
73171201a,BPP Latimojong,-3.37,120.19,Sulsel,35.26
73171202a,Bpp Latimojong,-3.37,120.19,Sulsel,28.53
73171401a,BPP Kamanre,-3.32,120.34,Sulsel,78.53
73171801a,Sinangkala/Lamasi Timur,-3.35,120.16,Sulsel,64.1
73171802a,Lamasi Timur/Seriti,-3.37,120.31,Sulsel,23.08
73180101a,Bpp. Ulusalu,-3.05,119.77,Sulsel,37.5
73180201a,Bpp. Bituang,-2.97,119.67,Sulsel,49.36
73180301a,Bpp. Bonggakaradeng/Leon,-3.19,119.73,Sulsel,45.83
73180501a,Toa'O,-3.09,119.85,Sulsel,98.4
73180901a,Stamet Pongtiku Tana Toraja,-3.05,119.82,Sulsel,98.72
